"family","genus","species","b_1","b_2","b_3","b_4"
"Oleaceae","Fraxinus","nigra",418.9,0.23,-3.323e-05,3.09
"Oleaceae","Fraxinus","quadrangulata",418.9,0.23,-3.323e-05,3.09
"Platanaceae","Platanus","occidentalis",819.4,0.3402,-1.626e-05,2.955
"Salicaceae","Populus","deltoides",916,0.2283,-2.029e-05,2.995
"Salicaceae","Salix","nigra",103.9,0.5745,-3.99e-05,2.996
"Salicaceae","Populus","tremuloides",117,0.3714,-3.645e-05,3.361
"Salicaceae","Populus","grandidentata",117,0.3714,-3.645e-05,3.361
"Salicaceae","Populus","balsamifera",117,0.3714,-3.645e-05,3.361
"Magnoliaceae","Liriodendron","tulipifera",569.2,0.3497,-1.767e-05,3.063
"Juglandaceae","Juglans","nigra",527.2,0.2073,-4.31e-05,2.918
"Rosaceae","Prunus","serotina",648.1,0.2008,-2.784e-05,3.014
"Lauraceae","Sassafras","albidum",648.1,0.2008,-2.784e-05,3.014
"Altingiaceae","Liquidambar","styraciflua",648.1,0.2008,-2.784e-05,3.014
"Sapindaceae","Acer","negundo",648.1,0.2008,-2.784e-05,3.014
"Fabaceae","Gleditsia","triacanthos",648.1,0.2008,-2.784e-05,3.014
"Betulaceae","Betula","nigra",648.1,0.2008,-2.784e-05,3.014
"Fabaceae","Robinia","pseudoacacia",648.1,0.2008,-2.784e-05,3.014
"Nyssaceae","Nyssa","biflora",648.1,0.2008,-2.784e-05,3.014
"Ebenaceae","Diospyros","kaki",648.1,0.2008,-2.784e-05,3.014
"Moraceae","Maclura","pomifera",648.1,0.2008,-2.784e-05,3.014
"Juglandaceae","Juglans","cinerea",648.1,0.2008,-2.784e-05,3.014
"Cornaceae","Cornus","florida",648.1,0.2008,-2.784e-05,3.014
"Moraceae","Morus","rubra",648.1,0.2008,-2.784e-05,3.014
"Sapindaceae","Aesculus","glabra",648.1,0.2008,-2.784e-05,3.014
"Fabaceae","Gymnocladus","dioicus",648.1,0.2008,-2.784e-05,3.014
"Betulaceae","Ostrya","virginiana",648.1,0.2008,-2.784e-05,3.014
"Betulaceae","Betula","papyrifera",648.1,0.2008,-2.784e-05,3.014
"Fabaceae","Cercis","canadensis",648.1,0.2008,-2.784e-05,3.014
"Rosaceae","Crataegus",NA,648.1,0.2008,-2.784e-05,3.014
"Bignoniaceae","Catalpa","speciosa",648.1,0.2008,-2.784e-05,3.014
"Cannabaceae","Celtis","laevigata",648.1,0.2008,-2.784e-05,3.014
"Magnoliaceae","Magnolia","acuminata",648.1,0.2008,-2.784e-05,3.014
"Moraceae","Morus","alba",648.1,0.2008,-2.784e-05,3.014
"Betulaceae","Carpinus","caroliniana",648.1,0.2008,-2.784e-05,3.014
"Simaroubaceae","Ailanthus",NA,648.1,0.2008,-2.784e-05,3.014
"Simaroubaceae","Ailanthus","altissima",648.1,0.2008,-2.784e-05,3.014
"Rosaceae","Malus",NA,648.1,0.2008,-2.784e-05,3.014
"Nyssaceae","Nyssa","sylvatica",648.1,0.2008,-2.784e-05,3.014
