family,genus,species,equation,equation_type,yunits,x1variable,x2variable,x1units,x2units,c1,c2,c3,c4,
Fabaceae,Cytisus,oromediterraneus,Biomass_FCC_H,acos_sqrt,Mgha,FCC,H,percent,dm,11.831024,0.463955,1,,
Fabaceae,Cytisus,oromediterraneus,IncBiomass_FCC_H,acos_sqrt,Mgha,FCC,H,percent,dm,0.788735,0.4639552,1,,
Fabaceae,Cytisus,scoparius,Height_Age,polynomial,m,Age,,year,,0.0125,0.105,1.1,,
Fabaceae,Cytisus,scoparius,Diameter_Age,polynomial,mm,Age,,year,,0.0222,0.5689,5.2089,,
Fabaceae,Cytisus,scoparius,Biomass_FCC_H,acos_sqrt,Mgha,FCC,H,percent,dm,0.3696343,1.2075982,1,,
Fabaceae,Cytisus,scoparius,IncBiomass_FCC_H,acos_sqrt,Mghayear,FCC,H,percent,dm,18.900532,-0.569899,1-614888,,Only pure stands
Fabaceae,Cytisus,scoparius,Biomass_Age,power,Mghayear,Age,,year,,8.4777,0.6648,,,
Fabaceae,Cytisus,multiflorus,Diameter_Age,polynomial,mm,Age,,year,,0.0027,0.9843,1.3785,,
Fabaceae,Genista,florida,Diameter_Age,polynomial,mm,Age,,year  ,,0.0032,1.732,3.4541,,
Fabaceae,Genista,cinerea,Diameter_Age,polynomial,mm,Age,,year,,0.0698,0.0386,5.0063,,
Fabaceae,Genista,tinctoria,Diameter_Age,polynomial,mm,Age,,year,,-0.1944,6.4389,-36.844,,
Fabaceae,Genista,linifolia,Diameter_Age,polynomial,mm,Age,,year  ,,0.0199,1.2578,5.5393,,
Fabaceae,Adenocarpus,spp,Diameter_Age,polynomial,mm,Age,,year,,-0.0179,1.3815,1.5456,,
Fabaceae,Retama,sphaerocarpa,Diameter_Age,polynomial,mm,Age,,year,,0.1317,-0.9206,9.8746,,
Fabaceae,Retama,sphaerocarpa,Height_Age,polynomial,m,Age,,year,,-0.0056,0.2678,-0.8022,,
Fabaceae,Retama,sphaerocarpa,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,1.6152778,1,1,,
Fabaceae,Retama,sphaerocarpa,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,0.1439749,1,1,,
Fabaceae,Ulex,europaeus,Height_Age,polynomial,m,Age,,year,,-0.0062,0.2075,0.425,,
Fabaceae,Ulex,europaeus,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,1.429399,1,1,,
Fabaceae,Ulex,europaeus,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,0.2278959,1,1,,Only pure stands
Fabaceae,Ulex,europaeus,Biomass_Age,power,MgHa,Age,,year,,8.03001,0.7801,,,
Fabaceae,Ulex,australis,Height_Age,polynomial,m,Age,,year,,-0.0139,0.4294,-1.6206,,
Fabaceae,Ulex,australis,Diameter_Age,polynomial,mm,Age,,year,,-0.0365,1.7035,0.753,,
Fabaceae,Ulex,parviflorous,Height_Age,polynomial,m,Age,,year,,-0.0006,0.0916,0.1816,,
Fabaceae,Ulex,parviflorous,Diameter_Age,polynomial,mm,Age,,year,,-0.0019,0.4453,6.9666,,
Fabaceae,Ulex,parviflorous,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,1.577036,1.017956,1,,
Fabaceae,Ulex,parviflorous,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,0.125447,1,1,,
Fabaceae,Genista,scorpius,Height_Age,polynomial,m,Age,,year,,-0.002,0.102,0.1083,,
Fabaceae,Genista,scorpius,Diameter_Age,polynomial,mm,Age,,year,,-0.0133,0.5903,-0.0895,,
Fabaceae,Genista,scorpius,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,0.2127759,2.1722167,0.6170022,,
Fabaceae,Genista,scorpius,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,0.5264417,0.6434965,1,,Only pure stands
Fabaceae,Genista,scorpius,Biomass_Age,power,MgHa,Age,,year,,0.6495,1.5413,,,
Fabaceae,Calicotome,ssp,Height_Age,polynomial,m,Age,,year,,-0.0016,0.1646,0.3256,,
Fabaceae,Calicotome,ssp,Diameter_Age,polynomial,mm,Age,,year,,0.056,-0.101,8.7293,,
Cistaceae,Cistus,laurifolius,Diameter_Age,polynomial,mm,Age,,year,,0.0253,0.3976,1.129,,
Cistaceae,Cistus,ladanifer,Height_Age,polynomial,m,Age,,year,,-0.0029,0.16,0.6121,,
Cistaceae,Cistus,ladanifer,Diameter_Age,polynomial,mm,Age,,year,,0.0173,0.3042,5.6118,,
Cistaceae,Cistus,ladanifer,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,1.3981378,0.9987021,1,,102 wrong heading 
Cistaceae,Cistus,ladanifer,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,0.1250345,1,1,,Only pure stands
Cistaceae,Cistus,ladanifer,Biomass_Age,power,MgHa,Age,,year,,4.6257,0.5128,,,
Cistaceae,Cistus,monspeliensi,Diameter_Age,polynomial,mm,Age,,year,,0.0538,-0.3841,7.486,,
Cistaceae,Cistus,albidus,Height_Age,polynomial,m,Age,,year,,0.0009,0.0788,0.5652,,
Cistaceae,Cistus,albidus,Diameter_Age,polynomial,mm,Age,,year,,0.0208,-0.0585,8.0353,,
Cistaceae,Cistus,albidus,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,1.7313566,0.7218292,0.6361264,,
Cistaceae,Cistus,albidus,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,3.442917,-0.201704,1,,Only pure stands
Cistaceae,Cistus,albidus,Biomass_Age,power,MgHa,Age,,year,,5.1568,0.4451,,,
Cistaceae,Cistus,populifolius,Height_Age,polynomial,m,Age,,year,,-0.0033,0.1754,-0.1258,,
Cistaceae,Cistus,populifolius,Diameter_Age,polynomial,mm,Age,,year,,0.0573,-0.507,8.5497,,
Cistaceae,Cistus,salviifolius,Height_Age,polynomial,m,Age,,year,,-0.0028,0.0906,0.0872,,
Cistaceae,Cistus,salviifolius,Diameter_Age,polynomial,mm,Age,,year,,-0.0062,0.7653,2.4909,,
Cistaceae,Cistus,libanotis,Diameter_Age,polynomial,mm,Age,,year,,0.053,-0.7224,10.512,,
Cistaceae,Halimium,halimifolium,Height_Age,polynomial,m,Age,,year,,0.0008,0.056,0.4632,,
Cistaceae,Halimium,halimifolium,Diameter_Age,polynomial,mm,Age,,year,,0.0684,-0.7332,10.2,,
Cistaceae,Halimium,halimifolium,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,1.336776,1,1,,
Cistaceae,Halimium,halimifolium,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,0.1066242,1,1,,
Lamiaceae,Rosmarinus,officinalis,Height_Age,polynomial,m,Age,,year,,-0.00007,0.0652,0.2355,,
Lamiaceae,Rosmarinus,officinalis,Diameter_Age,polynomial,mm,Age,,year,,-0.0023,0.8024,3.6739,,
Lamiaceae,Rosmarinus,officinalis,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,1.025574,1.133836,1,,
Lamiaceae,Rosmarinus,officinalis,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,3.1620475,-0.0412884,1.1083937,,Only pure stands
Lamiaceae,Rosmarinus,officinalis,Biomass_Age,power,MgHa,Age,,year,,1.4549,1.0314,,,
Lamiaceae,Lavandula,stoechas,Height_Age,polynomial,m,Age,,year,,-0.002,0.0994,-0.306,,
Lamiaceae,Lavandula,stoechas,Diameter_Age,polynomial,mm,Age,,year,,-0.0283,1.1574,0.5316,,
Lamiaceae,Lavandula,stoechas,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,1.952115,0.6468343,1,,
Lamiaceae,Lavandula,stoechas,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,0.1592441,0.6173933,1,,
Lamiaceae,Phlomis,purpurea,Height_Age,polynomial,m,Age,,year,,-0.0056,0.2411,-0.4756,,
Lamiaceae,Phlomis,purpurea,Diameter_Age,polynomial,mm,Age,,year,,0.022,-0.0323,6.4075,,
Lamiaceae,Phlomis,purpurea,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,1.024665,1,1,,
Lamiaceae,Phlomis,purpurea,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,0.1020098,1,1,,
Lamiaceae,Thymus,spp,Height_Age,polynomial,m,Age,,year,,-0.0008,0.0687,-0.4222,,
Lamiaceae,Thymus,spp,Diameter_Age,polynomial,mm,Age,,year,,-0.0138,0.4069,4.7902,,
Lamiaceae,Thymus,spp,Biomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,1.3520818,0.8747779,1,,
Lamiaceae,Thymus,spp,IncBiomass_FCC_H,acos_sqrt,MgHa,FCC,H,percent,dm,0.1022028,0.511909,1,,
